City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
238,Teya,60.3778,92.6267,58.17,66,9,2.8,RU,2022-05-19 00:57:00
239,Cidreira,-30.1811,-50.2056,59.05,78,87,17.6,BR,2022-05-19 00:57:00
240,Sao Joao Da Barra,-21.6403,-41.0511,65.21,41,0,20.54,BR,2022-05-19 00:57:01
241,Port Blair,11.6667,92.75,77.04,94,100,4.61,IN,2022-05-19 00:57:01
242,Mukhen,48.1,136.1,56.61,54,100,12.88,RU,2022-05-19 00:57:02
243,Morant Bay,17.8815,-76.4093,83.82,90,90,6.78,JM,2022-05-19 00:57:02
244,Tautira,-17.7333,-149.15,79.68,77,55,12.12,PF,2022-05-19 00:57:03
245,Yenagoa,4.9247,6.2642,75.92,95,100,4.54,NG,2022-05-19 00:57:03
246,San Nicolas,18.1725,120.5953,80.51,89,75,3.44,PH,2022-05-19 00:57:03
247,Mount Gambier,-37.8333,140.7667,57.49,62,87,4.18,AU,2022-05-19 00:57:04
248,Olafsvik,64.8945,-23.7142,43.92,93,100,13.67,IS,2022-05-19 00:57:04
249,Ciempozuelos,40.1591,-3.621,73.2,52,18,6.42,ES,2022-05-19 00:57:05
250,Zonguldak,41.25,31.8333,42.98,93,100,2.8,TR,2022-05-19 00:57:05
251,Codrington,-38.2667,141.9667,56.71,56,99,8.84,AU,2022-05-19 00:57:06
252,Sao Filipe,14.8961,-24.4956,76.69,67,99,6.22,CV,2022-05-19 00:57:06
253,Horta,38.5333,-28.6333,57.99,85,100,26.64,PT,2022-05-19 00:57:07
254,Marshalltown,42.0494,-92.908,77.04,65,6,4.21,US,2022-05-19 00:57:07
255,Rio Gallegos,-51.6226,-69.2181,37.45,100,0,2.3,AR,2022-05-19 00:57:08
256,Saint-Pierre,-21.3393,55.4781,67.68,68,0,6.91,RE,2022-05-19 00:57:08
257,Xai-Xai,-25.0519,33.6442,64.44,91,40,5.91,MZ,2022-05-19 00:57:08
258,Teluknaga,-6.0989,106.6381,88.03,97,40,3.0,ID,2022-05-19 00:57:09
259,Arawa,-6.2132,155.5367,88.75,57,75,3.8,PG,2022-05-19 00:57:09
260,Faanui,-16.4833,-151.75,80.2,74,100,6.98,PF,2022-05-19 00:57:10
261,Flin Flon,54.7682,-101.865,54.37,41,99,4.0,CA,2022-05-19 00:55:59
262,Garowe,8.4054,48.4845,78.12,63,78,19.82,SO,2022-05-19 00:57:10
263,Ust-Tsilma,65.441,52.1498,35.2,80,100,3.47,RU,2022-05-19 00:57:11
264,Bonthe,7.5264,-12.505,79.57,86,100,6.38,SL,2022-05-19 00:57:11
265,Verkhoyansk,67.5447,133.385,41.94,69,56,3.6,RU,2022-05-19 00:57:12
266,Te Anau,-45.4167,167.7167,48.74,81,100,12.3,NZ,2022-05-19 00:57:12
267,Hambantota,6.1241,81.1185,77.34,100,40,11.5,LK,2022-05-19 00:57:12
268,Lagoa,39.05,-27.9833,57.88,90,100,32.06,PT,2022-05-19 00:57:13
269,Bath,51.3779,-2.3591,56.75,96,82,3.89,GB,2022-05-19 00:53:49
270,Kenai,60.5544,-151.2583,63.03,48,85,6.85,US,2022-05-19 00:56:15
271,Quatre Cocos,-20.2078,57.7625,75.31,73,29,15.68,MU,2022-05-19 00:57:14
272,Bandarbeyla,9.4942,50.8122,82.27,68,92,19.3,SO,2022-05-19 00:58:14
273,Marrakesh,31.6315,-8.0083,73.47,53,0,3.44,MA,2022-05-19 00:57:07
274,Sosnovo-Ozerskoye,52.5249,111.5418,63.88,38,48,11.56,RU,2022-05-19 00:58:15
275,Belyy Yar,53.6039,91.3903,62.49,55,0,0.0,RU,2022-05-19 00:58:15
276,Dubrovytsya,51.5744,26.565,41.2,89,1,6.53,UA,2022-05-19 00:58:16
277,Mittagong,-34.45,150.45,56.19,52,0,4.18,AU,2022-05-19 00:56:00
278,Gat,31.61,34.7642,68.4,81,0,2.06,IL,2022-05-19 00:58:16
279,Marabba,12.35,32.1833,90.12,36,0,6.6,SD,2022-05-19 00:58:17
280,Matara,5.9485,80.5353,79.02,90,18,11.95,LK,2022-05-19 00:58:17
281,Mitchell,43.7094,-98.0298,72.73,60,98,1.99,US,2022-05-19 00:58:18
282,Makasar,-5.14,119.4221,82.45,83,20,3.44,ID,2022-05-19 00:54:32
283,Shimoda,34.6667,138.95,73.11,62,13,1.86,JP,2022-05-19 00:58:19
284,Salamiyah,35.0113,37.0532,61.68,59,0,4.23,SY,2022-05-19 00:58:19
